Time,CPU,Memory
19:42:42,100.0,49.0
19:42:43,2.9,49.0
19:42:44,2.9,49.0
19:42:45,21.3,49.0
19:42:46,20.6,49.0
19:42:47,25.9,49.0
19:42:48,5.7,49.0
19:42:49,12.2,49.0
19:42:50,21.3,49.0
19:42:51,0.0,49.0
19:42:52,17.4,49.0
19:42:53,40.1,49.0
19:42:54,32.9,49.0
19:42:55,9.9,49.0
19:42:56,11.5,49.0
19:42:57,1.0,49.0
19:42:58,39.8,49.0
19:42:59,27.5,49.0
19:43:00,16.7,49.0
19:43:01,12.3,49.0
19:43:02,9.9,49.0
19:43:03,2.0,49.1
19:43:04,15.3,49.1
19:43:05,18.0,49.1
19:43:06,6.5,49.1
19:43:07,22.5,49.1
19:43:08,0.0,49.1
19:43:09,10.7,49.1
19:43:10,1.0,49.1
19:43:11,16.0,49.1
19:43:12,9.9,49.1
19:43:13,9.8,49.1
19:43:14,1.0,49.1
19:43:15,10.7,49.1
19:43:16,21.3,49.1
19:43:17,0.0,49.1
19:43:18,17.4,49.1
19:43:19,25.9,49.1
19:43:20,8.3,49.1
19:43:21,23.5,49.1
19:43:22,20.0,49.1
19:43:23,2.0,49.1
19:43:24,37.5,49.1
19:43:25,32.0,49.1
19:43:26,13.8,49.1
19:43:27,12.4,49.1
19:43:28,9.9,49.1
19:43:29,21.3,49.1
19:43:30,22.5,49.1
19:43:31,16.0,49.1
19:43:32,3.8,49.1
19:43:33,1.0,49.1
19:43:34,13.8,49.1
19:43:35,4.8,49.1
19:43:36,22.7,49.1
19:43:37,29.6,49.1
19:43:38,29.6,49.1
19:43:39,10.8,49.1
19:43:40,4.8,49.1
19:43:41,32.9,49.1
