Time,CPU,Memory
20:28:40,71.0,48.7
20:28:41,0.0,48.7
20:28:42,1.0,48.7
20:28:43,6.5,48.7
20:28:44,1.0,48.7
20:28:45,0.0,48.7
20:28:46,4.8,48.7
20:28:47,1.0,48.7
20:28:48,4.8,48.7
20:28:49,9.1,48.7
20:28:50,0.0,48.7
20:28:51,5.7,48.7
20:28:52,1.0,48.7
20:28:53,0.0,48.7
20:28:54,2.9,48.7
20:28:55,5.7,48.7
20:28:56,2.0,48.7
20:28:57,4.8,48.7
20:28:58,4.8,48.7
20:28:59,0.0,48.7
20:29:00,5.7,48.7
20:29:01,2.0,48.7
20:29:02,2.9,48.7
20:29:03,7.4,48.7
20:29:04,0.0,48.7
20:29:05,5.7,48.7
20:29:06,8.3,48.7
20:29:07,4.8,48.7
20:29:08,6.5,48.7
20:29:09,0.0,48.7
20:29:10,4.8,48.7
20:29:11,2.9,48.7
20:29:12,2.0,48.7
20:29:13,1.0,48.7
20:29:14,2.9,48.7
20:29:15,2.0,48.7
20:29:16,3.8,48.7
20:29:17,12.3,48.7
20:29:18,2.9,48.7
20:29:19,1.0,48.7
20:29:20,6.5,48.7
20:29:21,3.9,48.7
20:29:22,1.0,48.7
20:29:23,5.7,48.7
20:29:24,1.0,48.7
20:29:25,2.0,48.7
20:29:26,4.8,48.7
20:29:27,6.5,48.7
20:29:28,2.0,48.7
20:29:29,5.7,48.7
20:29:30,2.0,48.7
20:29:31,0.0,48.7
20:29:32,2.0,48.7
20:29:33,10.7,48.7
20:29:34,2.9,48.7
20:29:35,5.7,48.7
20:29:36,6.6,48.7
20:29:37,2.0,48.7
20:29:38,1.0,48.7
20:29:39,5.7,48.7
